grid_search_id,criterion,max_features,min_samples_leaf,min_samples_split,rmse_val,mad_val,r2_val,comment
2024-01-02-10-30-06-430550,absolute_error,sqrt,3,2,0.149274537204175,0.0692375405568945,0.745936567202307,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-12-263942,absolute_error,sqrt,3,3,0.149370588438825,0.0694265304888907,0.7456039481574,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-18-494277,absolute_error,sqrt,3,4,0.148362212197917,0.0694917720805899,0.747938944705777,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-24-433450,absolute_error,log2,1,2,0.144098875118822,0.0649587752577377,0.757082396418576,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-31-027861,absolute_error,log2,1,3,0.14407120267275,0.0661011690122996,0.756941604934789,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-37-430012,absolute_error,log2,1,4,0.144782165271401,0.0666273062542805,0.755857694420559,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-44-397946,absolute_error,log2,2,2,0.146630805569278,0.0682638533638126,0.752247290638327,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-50-520980,absolute_error,log2,2,3,0.147194718947677,0.0693939900189236,0.750966113921666,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-56-733434,absolute_error,log2,2,4,0.14743520497983,0.0687057600149898,0.750438093351398,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-03-099388,absolute_error,log2,3,2,0.149884991837189,0.0709097363748414,0.744965043922363,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-08-926783,absolute_error,log2,3,3,0.149361192730326,0.0703083157196237,0.745941003447871,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-14-807944,absolute_error,log2,3,4,0.149301370775926,0.0699886868920993,0.7464263027811,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-20-678478,absolute_error,1,1,2,0.140358419208901,0.0609292006887597,0.760077433109038,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-28-536368,absolute_error,1,1,3,0.140962101659355,0.0609998527999866,0.758597007221453,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-36-113830,absolute_error,1,1,4,0.140745156040518,0.0613915084109008,0.759800069744143,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-43-503086,absolute_error,1,2,2,0.14224213491003,0.0628023808192833,0.757225250640575,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-51-406966,absolute_error,1,2,3,0.142515714143993,0.0623226580198864,0.755661099184768,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-58-661110,absolute_error,1,2,4,0.142329210202671,0.0626985221203528,0.756900881808174,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-06-091856,absolute_error,1,3,2,0.143413064906728,0.0631862729849594,0.754820446798163,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-13-469731,absolute_error,1,3,3,0.143190044391626,0.0628661250362569,0.754311668866023,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-20-496110,absolute_error,1,3,4,0.142944757008697,0.0632890647239426,0.755515233728878,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-28-108291,absolute_error,2,1,2,0.143944456901472,0.0656719035240763,0.757042302730554,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-34-810932,absolute_error,2,1,3,0.143883933597273,0.0661934668864122,0.757822939193117,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-41-289884,absolute_error,2,1,4,0.145156114016729,0.0666966131939024,0.754906878966505,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-47-594219,absolute_error,2,2,2,0.147829712709515,0.0692946454196463,0.749554867790445,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-54-068216,absolute_error,2,2,3,0.147846581073595,0.0694330126356801,0.749240019382805,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-00-083748,absolute_error,2,2,4,0.147029998125735,0.0673636571233254,0.750935403324486,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-06-153287,absolute_error,2,3,2,0.14948621938762,0.0705953248968615,0.745638112164346,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-11-980840,absolute_error,2,3,3,0.149554307476229,0.0704962193629497,0.745423449754738,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-17-906066,absolute_error,2,3,4,0.150156135527405,0.0707591067835489,0.744090200745582,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-24-142467,friedman_mse,sqrt,1,2,0.142711226542593,0.0656808684318119,0.760061732001765,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-28-708162,friedman_mse,sqrt,1,3,0.14359014057814,0.0662330971119836,0.757512053673977,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-33-192373,friedman_mse,sqrt,1,4,0.143588596251213,0.065155486152158,0.757966246589415,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-37-610664,friedman_mse,sqrt,2,2,0.144980895848402,0.0663596943936461,0.754995354132645,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-41-929764,friedman_mse,sqrt,2,3,0.144772026896892,0.0665401082013986,0.755939222999949,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-46-322462,friedman_mse,sqrt,2,4,0.144905022038305,0.0667648161708139,0.755026103817034,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-51-153527,friedman_mse,sqrt,3,2,0.147075137463191,0.0688407751019596,0.750736107600446,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-55-379964,friedman_mse,sqrt,3,3,0.147922837630651,0.0704743926353153,0.748808899914326,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-59-597205,friedman_mse,sqrt,3,4,0.147293132315335,0.0697052044889198,0.750478618269855,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-03-830111,friedman_mse,log2,1,2,0.142441946521902,0.0644770647396737,0.759944966300501,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-08-904738,friedman_mse,log2,1,3,0.14363511180551,0.0652143261302319,0.758491579669374,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-13-582664,friedman_mse,log2,1,4,0.1436651417641,0.0661510635921649,0.758129590153356,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-17-903200,friedman_mse,log2,2,2,0.144878586243082,0.0672047419751269,0.755476907571053,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-22-518495,friedman_mse,log2,2,3,0.145647529633689,0.0667917565891661,0.754216928939436,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-26-853754,friedman_mse,log2,2,4,0.14492290618152,0.0677541154800625,0.755637459291586,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
